surgery,age,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,rectal_exam_feces,abdomen,abdomo_appearance,surgical_lesion,abdomo_protein,lesion_1,packed_cell_volume,total_protein,nasogastric_reflux_ph,rectal_temp,pulse,respiratory_rate,outcome
no,adult,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,severe,none,more_1_liter,None,None,cloudy,no,2,2209,65,82,2,38.2,130,48,euthanized
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,decreased,distend_small,serosanguious,yes,2.6,2208,43,8,2,37.8,60,32,died
yes,adult,None,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,none,more_1_liter,None,None,cloudy,no,2,3205,57,8.1,2,38.3,132,32,euthanized
yes,young,normal,normal,pale_pink,less_3_sec,severe_pain,hypomotile,none,slight,more_1_liter,normal,None,clear,yes,2,2205,48,7.2,5.7,38.2,52,18,died
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,slight,slight,none,absent,None,None,yes,2,4205,46,81,2,37.8,60,30,lived
no,adult,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,none,decreased,firm,cloudy,no,2.3,5000,42,7.5,7,39,64,40,lived
no,adult,normal,None,normal_pink,less_3_sec,mild_pain,hypomotile,slight,None,less_1_liter,None,distend_small,clear,yes,2,2205,65,81,1,38.1,60,20,euthanized
yes,adult,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,slight,none,more_1_liter,decreased,distend_large,serosanguious,yes,3.4,5400,73,6.2,5.4,39.2,86,28,died
no,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,none,none,normal,distend_large,serosanguious,no,4.8,3025,57,8,7,40.3,114,36,died
no,adult,cool,None,dark_cyanotic,less_3_sec,depressed,absent,moderate,significant,more_1_liter,None,other,cloudy,no,2,2322,41,65,2,38.1,86,40,euthanized
yes,adult,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,significant,less_1_liter,decreased,normal,serosanguious,yes,2,7111,54,54,7,38.9,80,44,died
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,slight,less_1_liter,absent,distend_large,cloudy,yes,2,3209,47,6.6,2,38.1,52,16,euthanized
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,increased,distend_large,clear,yes,3.6,2124,44,6,3,38.1,66,12,lived
yes,adult,cold,normal,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,decreased,distend_small,cloudy,yes,4.3,2206,49,9,6.5,38.8,54,24,died
no,adult,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,none,absent,distend_large,cloudy,yes,4.5,7400,57,8.7,7,40.3,114,36,died
yes,adult,normal,None,pale_pink,less_3_sec,None,absent,severe,significant,none,None,None,serosanguious,yes,2,2205,52,75,2,37.8,36,24,lived
yes,adult,cold,reduced,bright_red,more_3_sec,depressed,absent,severe,None,more_1_liter,absent,distend_large,serosanguious,yes,2,3205,68,64,2,39.2,100,24,lived
no,adult,cold,reduced,normal_pink,less_3_sec,depressed,absent,None,none,more_1_liter,normal,normal,clear,no,5,8300,45,7.5,5,38,92,28,euthanized
yes,adult,normal,normal,None,less_3_sec,mild_pain,absent,slight,none,more_1_liter,decreased,distend_small,clear,no,2,2113,42,71,1,38.8,52,16,lived
no,adult,cool,reduced,bright_red,more_3_sec,depressed,absent,moderate,none,none,absent,None,serosanguious,yes,2,2208,57,8.5,2,38.2,129,51,lived
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,none,absent,distend_small,cloudy,yes,2,1400,75,81,1,39,66,80,euthanized
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,normal,normal,serosanguious,yes,5.3,7400,54,6.4,7,38.2,40,84,died
no,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,None,None,more_1_liter,None,distend_large,clear,yes,2,4205,64,86,2,38.3,120,32,euthanized
yes,adult,normal,reduced,dark_cyanotic,more_3_sec,severe_pain,absent,moderate,None,more_1_liter,decreased,None,cloudy,yes,2.6,1400,59,7.5,5,39.6,104,36,died
yes,adult,cool,reduced,normal_pink,less_3_sec,mild_pain,absent,slight,slight,more_1_liter,absent,distend_small,clear,yes,2,1400,75,81,2,37.6,84,40,euthanized
no,adult,normal,normal,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,absent,distend_large,cloudy,yes,3.3,5205,48,7.5,5.2,38.2,52,12,died
no,adult,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_small,cloudy,yes,3.3,2207,41,66,5,38.4,48,32,lived
yes,adult,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,none,none,none,decreased,other,cloudy,yes,1.7,2124,42,7.5,7,38.4,184,58,lived
no,adult,normal,None,pale_pink,less_3_sec,alert,None,slight,slight,more_1_liter,normal,None,cloudy,no,2.1,0,55,7.2,5.5,38.6,52,16,lived
no,adult,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,more_1_liter,normal,firm,clear,no,5,0,49,8,5.5,37.5,48,9,lived
yes,adult,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,absent,distend_small,cloudy,yes,5.3,2112,54,7.5,6.2,38.2,136,18,lived
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,absent,slight,slight,less_1_liter,absent,distend_small,serosanguious,yes,3.6,31110,50,7.2,4.5,38.4,64,28,died
yes,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,more_1_liter,None,None,clear,no,5.3,3111,47,6.5,5.7,37.9,48,14,lived
no,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,none,less_1_liter,None,distend_small,clear,no,3.6,2124,43,7,3,38.1,54,28,lived
no,adult,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,none,less_1_liter,None,None,serosanguious,yes,2.6,4205,49,6.6,4.5,38,84,48,died
no,adult,cool,reduced,pale_pink,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,absent,distend_small,serosanguious,no,1,3111,51,6.5,1,38.6,104,12,euthanized
no,adult,normal,normal,bright_pink,less_3_sec,depressed,hypermotile,none,slight,more_1_liter,increased,firm,clear,no,3.9,0,50,7,4,37.7,88,36,lived
no,adult,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,normal,distend_large,serosanguious,yes,2.6,7400,57,8.1,7,40.3,114,36,euthanized
yes,adult,cool,None,pale_pink,more_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,absent,distend_small,serosanguious,yes,5.4,2208,45,7.2,5.3,39.1,52,16,lived
yes,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,less_1_liter,absent,distend_large,clear,yes,1.4,7209,37,6.6,7,38.9,48,24,lived
no,adult,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,none,less_1_liter,increased,other,clear,no,4.5,3111,44,9.1,3.5,37.5,48,28,lived
yes,young,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,none,None,None,serosanguious,yes,2,2124,47,54,7,38.9,120,40,lived
yes,adult,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,none,none,decreased,distend_small,cloudy,yes,3.6,2208,50,7,3,38.1,66,12,lived
yes,adult,cold,absent,dark_cyanotic,less_3_sec,mild_pain,absent,none,none,more_1_liter,None,distend_small,serosanguious,yes,2,2113,66,13,2,39.3,88,51,lived
no,young,cool,normal,bright_pink,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,normal,distend_small,cloudy,no,3.9,2208,47,6.2,4.4,39.1,114,36,euthanized
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,normal,None,clear,no,8,3111,42,7.2,6.5,38.1,60,16,lived
yes,adult,None,reduced,pale_pink,less_3_sec,depressed,absent,slight,slight,more_1_liter,None,distend_small,serosanguious,yes,4.3,3111,40,8.6,5.3,37.2,108,30,lived
yes,adult,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,none,slight,more_1_liter,normal,distend_large,cloudy,no,2.6,31110,38,7.2,5.5,37.5,48,12,lived
no,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,normal,distend_large,clear,no,1.6,0,44,7,5.3,38.5,68,12,lived
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,severe,none,none,absent,distend_large,serosanguious,yes,2.9,2124,52,7.8,4.4,39.1,100,51,lived
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,slight,slight,none,absent,distend_small,serosanguious,yes,4.3,2205,48,8.3,4,40.8,108,12,died
no,adult,normal,reduced,bright_pink,less_3_sec,alert,hypomotile,moderate,slight,more_1_liter,absent,distend_large,clear,yes,2.9,2124,53,7.2,5.5,38.5,52,51,lived
yes,adult,None,None,normal_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,decreased,distend_small,cloudy,yes,4.3,2208,49,9.1,5,38.1,84,20,lived
no,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,none,none,absent,distend_small,serosanguious,yes,4.4,2208,57,6.1,4,38.1,114,24,died
no,adult,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,less_1_liter,decreased,distend_large,cloudy,no,2.8,4300,60,7.5,4.5,37.6,96,40,died
yes,adult,normal,reduced,bright_pink,less_3_sec,severe_pain,hypomotile,slight,slight,more_1_liter,absent,distend_small,cloudy,yes,2.8,1400,40,7.5,7,38.4,52,40,euthanized
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,None,more_1_liter,None,None,serosanguious,yes,2,2208,59,8,7,39.5,114,48,died
yes,adult,cold,absent,dark_cyanotic,less_3_sec,severe_pain,absent,none,none,more_1_liter,None,distend_small,serosanguious,yes,2,2208,66,13,2,37.4,100,51,euthanized
yes,adult,cool,absent,bright_red,less_3_sec,depressed,absent,severe,none,more_1_liter,absent,None,cloudy,no,2,1400,48,64,2,37.5,84,36,euthanized
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,None,distend_small,serosanguious,yes,4.5,2124,52,6.5,7,39.4,108,24,euthanized
yes,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,normal,distend_large,clear,yes,8,31110,49,7.2,7,38.1,48,16,lived
no,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,8,1400,73,8.5,5.2,38,112,36,euthanized
no,adult,normal,normal,pale_pink,less_3_sec,alert,normal,none,slight,none,normal,normal,clear,no,1.3,0,49,8.5,7,38.1,48,24,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,slight,slight,none,normal,distend_large,serosanguious,yes,2,2113,59,8.5,7,39,64,36,lived
no,adult,cold,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,decreased,distend_small,serosanguious,yes,4.1,2205,47,7.5,4,37.5,96,18,died
yes,adult,normal,None,pale_cyanotic,more_3_sec,None,absent,severe,slight,none,None,distend_large,cloudy,yes,2,2205,52,75,2,37.3,60,24,euthanized
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,slight,slight,less_1_liter,absent,distend_small,serosanguious,yes,4.3,2208,51,8.1,6.5,37.3,40,30,lived
yes,adult,cool,normal,bright_red,less_3_sec,alert,normal,none,none,more_1_liter,normal,distend_large,cloudy,yes,4.3,3111,28,7.7,5,38.2,52,20,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,significant,less_1_liter,absent,distend_small,serosanguious,yes,3.2,2208,47,7,7,36.1,98,40,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,None,none,absent,distend_large,serosanguious,yes,2,3205,55,64,2,38.3,60,24,euthanized
yes,adult,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,none,slight,none,normal,normal,clear,yes,8,3111,40,7,7,38.7,100,20,lived
no,adult,cool,reduced,pale_cyanotic,more_3_sec,alert,absent,slight,slight,None,None,other,clear,no,3.7,400,48,7.2,5,38,48,16,lived
yes,adult,cool,normal,normal_pink,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,normal,distend_small,cloudy,yes,1.6,2208,44,8.1,5,37,52,12,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,less_1_liter,increased,distend_small,cloudy,yes,3,31110,47,5.7,3.5,38.6,88,14,lived
yes,adult,normal,normal,None,less_3_sec,alert,normal,none,slight,more_1_liter,None,None,cloudy,no,3.4,3113,36,56,5.5,37.5,48,16,lived
yes,adult,cool,normal,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,none,more_1_liter,absent,distend_small,serosanguious,yes,2.3,2202,45,6.6,7,37.8,84,32,died
no,adult,cool,normal,pale_cyanotic,more_3_sec,depressed,absent,slight,none,more_1_liter,None,distend_large,serosanguious,yes,5.3,1400,48,7.2,5,37.1,96,36,died
yes,adult,cool,reduced,normal_pink,less_3_sec,None,hypomotile,moderate,slight,more_1_liter,normal,distend_small,serosanguious,yes,2,2209,41,60,1,38.3,40,20,euthanized
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,None,absent,severe,none,more_1_liter,None,other,None,yes,2,2205,68,64,2,37.8,100,48,euthanized
yes,adult,cold,reduced,dark_cyanotic,less_3_sec,depressed,absent,slight,slight,none,absent,distend_large,serosanguious,yes,3.2,3205,60,6.1,4,38.5,164,36,died
yes,adult,cool,reduced,bright_red,less_3_sec,severe_pain,hypomotile,none,slight,none,increased,distend_small,serosanguious,yes,2.6,2206,54,7.5,3,38.1,66,12,died
yes,adult,normal,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,None,more_1_liter,absent,distend_large,serosanguious,yes,3.7,12208,45,6.6,4.5,37.6,84,36,died
no,adult,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,normal,distend_large,serosanguious,yes,4.5,3205,57,7.4,7,40.3,114,36,died
yes,adult,cool,normal,bright_red,more_3_sec,depressed,absent,slight,slight,more_1_liter,None,None,serosanguious,yes,2,2209,57,74,2,38.1,104,40,euthanized
yes,young,cool,reduced,dark_cyanotic,less_3_sec,severe_pain,absent,moderate,significant,more_1_liter,None,distend_large,serosanguious,yes,4.7,2112,44,7.4,4.5,37.8,96,21,died
yes,adult,cold,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_large,clear,yes,10.1,2205,33,6.6,5.5,37.9,84,36,died
yes,adult,cool,normal,pale_cyanotic,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,decreased,firm,serosanguious,yes,5,2205,50,7,2,37.8,48,12,euthanized
yes,adult,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,significant,none,decreased,distend_small,serosanguious,yes,3.3,2207,37,7,6,37.8,60,12,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,none,absent,distend_large,serosanguious,yes,2.8,4205,65,7,4.3,38.3,96,28,died
yes,adult,cool,normal,bright_red,less_3_sec,severe_pain,hypomotile,none,slight,none,normal,distend_small,cloudy,yes,2,31110,45,6,3,38,66,12,died
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,none,none,decreased,None,serosanguious,yes,2.3,4205,44,6.6,7,38.7,48,16,died
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,decreased,distend_large,None,yes,3.7,5400,48,6.8,5.7,37.6,72,30,died
yes,young,normal,normal,bright_red,more_3_sec,mild_pain,hypomotile,none,slight,more_1_liter,increased,None,cloudy,yes,2.6,2112,44,7.5,5,38.1,66,12,died
no,adult,cool,normal,pale_cyanotic,less_3_sec,depressed,absent,slight,None,more_1_liter,None,firm,clear,no,2.6,5000,49,6,1.5,38.3,48,12,lived
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,severe_pain,absent,slight,none,more_1_liter,absent,distend_small,serosanguious,yes,2,2208,51,64,2,38.1,88,12,died
no,adult,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,more_1_liter,normal,normal,clear,no,5,0,49,8.1,5,38.6,48,12,lived
yes,adult,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,slight,slight,less_1_liter,absent,distend_small,None,yes,1,2112,75,81,2,38.8,68,22,lived
yes,adult,cold,reduced,dark_cyanotic,more_3_sec,None,absent,moderate,None,more_1_liter,absent,distend_large,clear,yes,2,3205,69,82,2,37.5,120,36,lived
no,adult,warm,normal,normal_pink,less_3_sec,alert,normal,none,none,none,normal,firm,clear,no,2.9,0,37,7,4.3,38.3,52,16,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,more_1_liter,None,distend_large,serosanguious,yes,2,4205,43,8.1,2,38.2,100,51,died
yes,adult,cool,reduced,pale_pink,more_3_sec,depressed,absent,moderate,slight,more_1_liter,decreased,distend_small,serosanguious,yes,3.6,2209,48,6.6,3,36.1,96,21,died
yes,adult,normal,normal,dark_cyanotic,more_3_sec,mild_pain,absent,slight,slight,less_1_liter,None,distend_small,serosanguious,yes,5.3,2208,69,8,5,37.5,104,18,lived
yes,adult,cold,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,absent,distend_small,None,yes,2,2209,71,85,2,38.6,104,40,euthanized
yes,adult,cool,reduced,bright_pink,more_3_sec,depressed,hypomotile,moderate,none,none,decreased,None,serosanguious,yes,2.6,400,40,7.6,3,38.6,72,20,died
no,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,None,more_1_liter,decreased,firm,serosanguious,yes,7.4,2207,52,8.2,6,37.2,108,12,euthanized
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,normal,firm,clear,no,5,0,36,6.6,5.5,38.6,52,20,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,normal,distend_large,serosanguious,yes,4.3,2208,41,6.4,5.5,38.4,66,32,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,decreased,distend_small,serosanguious,yes,3.9,0,42,6.3,4,37.1,48,12,lived
no,adult,warm,normal,normal_pink,less_3_sec,alert,hypomotile,none,significant,none,None,None,clear,no,5,2124,37,6.8,7.5,38.4,52,24,lived
yes,young,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,slight,none,absent,distend_small,serosanguious,yes,4.5,2205,48,6.1,4,38.3,184,30,died
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,depressed,hypomotile,moderate,none,less_1_liter,absent,None,cloudy,no,2,1400,75,81,2,37.5,72,24,euthanized
no,adult,normal,None,normal_pink,less_3_sec,depressed,hypomotile,none,none,more_1_liter,normal,None,clear,no,2,3205,52,7,1,37.8,88,16,euthanized
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,severe,significant,more_1_liter,None,distend_small,serosanguious,yes,2,2322,57,82,2,37.2,88,24,euthanized
yes,adult,cool,None,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,None,less_1_liter,absent,distend_large,serosanguious,yes,2,3205,48,7.5,5.4,38.6,108,12,died
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,slight,less_1_liter,decreased,distend_small,serosanguious,yes,3.6,2209,55,6.6,4,35.4,88,32,euthanized
yes,adult,cold,reduced,bright_red,less_3_sec,depressed,absent,severe,none,less_1_liter,decreased,distend_large,serosanguious,no,3.4,4205,54,7.6,1,39.5,88,28,died
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,decreased,distend_large,cloudy,yes,2,3124,45,7.5,5,37.5,48,16,lived
no,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,significant,more_1_liter,absent,distend_large,cloudy,yes,2.8,7111,64,8.2,2,38.4,72,36,euthanized
yes,young,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,less_1_liter,None,None,serosanguious,yes,2.1,2112,43,7.4,7,39.4,120,48,died
yes,adult,cool,reduced,pale_pink,more_3_sec,depressed,absent,moderate,significant,less_1_liter,None,None,None,no,2,1400,75,81,2,37.1,84,20,euthanized
yes,adult,cold,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,decreased,distend_large,cloudy,yes,3.9,7111,37,4.5,3,38.8,88,24,died
yes,young,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,slight,slight,more_1_liter,absent,distend_small,serosanguious,yes,3.4,2208,50,7.5,4.5,38.9,96,12,died
no,adult,cool,None,pale_pink,less_3_sec,mild_pain,hypomotile,None,slight,more_1_liter,None,None,None,yes,2,2209,57,66,2,38.2,129,48,euthanized
yes,young,cool,reduced,pale_pink,less_3_sec,severe_pain,hypermotile,moderate,slight,none,increased,None,cloudy,yes,2.9,2205,33,4.9,4.4,38.1,136,48,died
no,adult,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,severe,significant,more_1_liter,None,None,serosanguious,no,2,1400,66,8.2,2,39.2,104,48,died
yes,adult,normal,None,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,absent,distend_large,cloudy,yes,3.2,2208,43,6.5,3,38.5,36,18,died
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,none,more_1_liter,absent,distend_small,serosanguious,no,2,2113,58,13,2,39.7,108,51,euthanized
yes,adult,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,6.6,2208,48,7.5,5.5,38.3,40,20,euthanized
no,adult,cool,reduced,dark_cyanotic,less_3_sec,depressed,hypomotile,none,slight,none,decreased,normal,serosanguious,yes,5.2,2300,47,6.4,3,37.8,80,44,died
yes,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,none,absent,distend_large,serosanguious,yes,3.9,3111,31.5,6,7,37.9,48,20,lived
no,adult,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,slight,slight,more_1_liter,None,distend_small,serosanguious,yes,2,2209,50,55,1,36.1,88,32,euthanized
no,adult,warm,normal,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,decreased,distend_large,serosanguious,yes,2.9,2209,69,5.7,7,37,66,16,died
yes,adult,cool,reduced,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,decreased,normal,serosanguious,yes,3.4,3205,54,6.5,7,40.3,80,36,died
yes,adult,None,None,dark_cyanotic,more_3_sec,severe_pain,absent,slight,none,more_1_liter,absent,distend_small,serosanguious,yes,3.4,12208,48,7.5,5,37.1,75,36,died
yes,adult,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,normal,distend_large,serosanguious,yes,3.9,3113,57,6.5,7,38.9,140,20,lived
yes,young,cool,reduced,pale_cyanotic,more_3_sec,None,absent,None,None,more_1_liter,normal,None,None,yes,8,2206,34,7.6,5,38.8,129,40,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,none,normal,None,serosanguious,yes,4.5,2208,57,8.1,7,38.5,114,36,died
yes,adult,cool,absent,pale_cyanotic,less_3_sec,depressed,absent,slight,slight,more_1_liter,absent,distend_small,cloudy,yes,3.4,2208,52,89,2,39.1,88,20,euthanized
yes,adult,normal,reduced,pale_pink,more_3_sec,depressed,absent,moderate,slight,more_1_liter,decreased,distend_small,serosanguious,yes,6.6,2206,57,8,6.2,38.8,129,51,lived
yes,young,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,4.5,2209,57,8.9,6,38.2,128,36,died
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,decreased,distend_small,cloudy,yes,4.5,2208,45,6.6,4,37.5,60,12,lived
yes,adult,cold,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,absent,distend_small,serosanguious,yes,3.9,2205,56,7.8,4.5,37.5,86,24,died
yes,adult,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,slight,slight,less_1_liter,absent,distend_small,serosanguious,yes,4.3,2208,44,6.2,4.5,36,114,36,died
no,adult,cool,reduced,bright_red,less_3_sec,depressed,absent,slight,none,none,decreased,firm,cloudy,no,2.6,2113,40,6.8,7,38.1,92,28,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,severe_pain,absent,moderate,significant,none,absent,distend_small,serosanguious,yes,2,2205,43,7.5,2,38.5,56,30,died
no,adult,normal,normal,bright_pink,less_3_sec,alert,hypermotile,none,none,none,normal,normal,serosanguious,no,4.7,0,32,7,5,37.8,44,12,lived
yes,adult,cool,normal,pale_cyanotic,less_3_sec,severe_pain,normal,slight,slight,more_1_liter,normal,None,serosanguious,yes,6,2209,32,6.5,6.5,38.6,48,16,euthanized
no,young,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,none,decreased,distend_small,serosanguious,yes,4.5,7400,48,6.5,7,40.3,114,36,died
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,absent,distend_small,serosanguious,no,2.6,2208,73,6.6,4.5,39.6,88,51,died
no,adult,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,severe,none,more_1_liter,absent,None,clear,yes,3,3115,45,6.7,6.5,38.3,96,25,died
yes,adult,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,decreased,distend_large,None,yes,3.6,2124,44,6,3,37.3,48,12,lived
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,mild_pain,absent,none,None,more_1_liter,absent,distend_small,serosanguious,yes,3.4,2208,66,6,1,37.3,88,24,euthanized
no,adult,cool,reduced,pale_cyanotic,less_3_sec,None,hypomotile,None,None,more_1_liter,absent,distend_small,None,no,2,2209,55,60,1,38.1,88,32,euthanized
no,adult,normal,normal,bright_red,less_3_sec,depressed,absent,slight,slight,more_1_liter,absent,firm,cloudy,no,1.6,11300,52,8.1,5.5,38.2,52,24,lived
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_small,clear,yes,2.6,2209,41,7.5,6.5,39.1,48,32,lived
no,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,moderate,none,more_1_liter,absent,None,cloudy,yes,2,3205,52,81,2,38.5,92,30,euthanized
no,adult,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,more_1_liter,absent,distend_small,serosanguious,no,3.4,2111,65,8.5,5,39.3,120,24,died
no,adult,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,decreased,firm,clear,no,5,0,38,7.3,5.3,38,52,24,lived
yes,adult,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,absent,distend_small,cloudy,no,2.9,2209,50,7,5,39.2,112,16,lived
